Count	Level	Name	Effect	Type	Timing	Notes
3	0	Collect SIGINT	Gain 1 Blue Intel.	Activated	Early	
3	0	Collect HUMINT	Gain 1 Red Intel.	Activated	Early	
3	0	Collect IMINT	Gain 1 Yellow Intel.	Activated	Early	
3	0	Budget Request	Gain 1 Funding.	Activated	Early	
3	0	Insights	Gain 1 Operational Progress.	Activated	Early	
3	0	Reappraise	Convert 1 Intel on a face-down Backup Plan to another type.	Activated	Mid	
2	1	Espionage	Gain 1 Intel.	Activated	Early	
2	1	Diversion	Force an opponent to lose 1 Operational Progress.	Activated	Early	
1	1	Compile	Place future Mission Rewards on this card instead of on face-down cards. At the end of the Operation, gain +1 Mission Reward from the supply for every 2 Mission Rewards on this card.	Future	Early	Scaling resource aggregation, rewards consistency in winning.
1	1	Redundancy	Double 1 Mission Reward on the card to the left.	Activated	Mid	
1	1	Turnover	Destroy a Backup Plan (including this one) to gain 3 Funding.	Activated	Mid, Late	Trades tableau space for immediate benefit.
0	1	Unexpected Twist	Activate a Twist effect.	Activated	Early	
2	1	Sell Secrets	Lose 1 Intel to gain 1 Funding.	Activated	Early	
0	1		You have +2 Blue Intel for recruiting Local Assets.	Ongoing	Early	
0	1		You have +2 Red Intel for recruiting Local Assets.	Ongoing	Early	
0	1		You have +2 Yellow Intel for recruiting Local Assets.	Ongoing	Early	
0	1		You have +1 Intel for recruiting Local Assets.	Ongoing	Early	
1	1	Serendipity	Gain 1 random Mission Reward from the bag.	Activated	Early	
1	1	Bet On The Come	At the end of the Operation, activate all Backup Plans to the right of this card.	Future	Early	Requires a gamble on future turns.
1	2	Reappraise	At the end of the Operation, activate all Backup Plans to the left of this card.	Future	Late	
1	2	Shadow	Copy 1 Mission Reward gained by any player with Priority this turn.	Activated	Early	
1	2	Jackpot	Double Mission Rewards of a single type on a face-down Backup Plan.	Activated	Mid	
1	2	Breakthrough	Convert all Intel of 1 type on a face-down Backup Plan to another type.	Activated	Late	
1	2	Success Breeds Success	Duplicate 1 Mission Reward on any face-down Backup Plan.	Activated	Mid	
1	2	Sweeten the Deal	Duplicate 1 Mission Reward on a face-down Backup Plan to the left.	Activated	Mid	
1	2	Make Your Own Luck	Duplicate 1 Mission Reward on a face-down Backup Plan to the right.	Activated	Early	
1	2	Collaboration	At the end of the Operation, sum the levels of your face-up Backup Plans. Gain 1 Mission Reward for every 3 levels (round up).	Future	Late	
1	2	Hardball	Force each player with Priority at any Location this turn to lose 1 Operation Progress.	Activated	Early	
1	2	Double Agents	Gain 1 Operational Progress for each player with Priority at a Location this turn.	Activated	Early	
1	2	Pull Up Stakes	At the end of the Operation, gain 1 Operational Progress per face-up Backup Plan.	Future	Late	
1	2	Mandatory Overtime	At the end of the Operation, gain 1 Operational Progress per face-down Backup Plan.	Future	Late	
1	2	Decode	Lose 1 Intel to gain 2 Intel of a different type.	Activated	Early	
1	2	Extended Network	Take 1 Mission Reward from a Location you did not visit during this Mission. Replace from the bag.	Activated	Early	
1	2	Red Herring	Replace 1 Mission Reward on a Location with one of your choice from the supply.	Activated	Early	Why?
1	2	Rumors	Draw 2 random Mission Rewards from the bag and keep 1.	Activated	Early	
1	2	Slush Fund	Gain 1 Funding. You may lose 2 Funding to gain 1 Intel.	Activated	Mid	
1	2	Out On A Limb	Move the token up on the track, or gain the current reward listed on the space with the token and reset the track.	Activated	Early	Push your luck. Track printed on the card. Needs extra spots on card in case another card allows moving higher than normal.
1	3	Insurance	Start the next Operation with a face-up Backup Plan.	Future	Late	Opportunity cost this round but big payoff next round. May need to be balanced with a cost.
1	3	Coup de Grace	At the end of the Operation, activate all other face-up Backup Plans.	Future	Late	Combo Finisher. Activates the entire tableau for a massive end-of-round effect.
1	3	Plan A	Copy the Backup Plan to the left of this card.	Activated	Mid, Late	Combo Duplicator. Duplicates an adjacent effect for double value in one turn.
1	3	Leverage	For each of your face-down Backup Plans, take 1 Mission Reward from any Location.	Activated	Early	Scaling Reward. Scales exponentially with successful priority wins, turning losses into huge resource gains. Best to play in the middle when there are 2 face-down BPs to the left and at least one more opportunity to trigger on the right.
1	3	Apply Pressure	For each of your face-down Backup Plans, take 1 random Mission Reward from the bag.	Activated	Late	Scaling Reward. Scales exponentially with successful priority wins.
1	3	Unmask Plot	For each of your face-down Backup Plans, take 1 Mission Reward from the supply.	Activated	Late	Scaling Reward. Scales exponentially with successful priority wins.
1	3	Fight Another Day	You may flip this card face down to flip a face-down Backup Plan card face up and activate it.	Activated	Mid	Tension Breaker. Converts a card played from a win (face-down) into a face-up activation, gaining both reward and effect.
1	3	Double Down	Copy the effect of the rightmost Backup Plan card.	Activated	Early	Combo Duplicator. (This loses one resource due to opportunity cost of playing—worth it?)
1	3	Subterfuge	The next time you have Priority at a Location, also play a face-up Backup Plan, activate it, and then flip this card face down. Do not activate other face-up Backup Plans.	Future	Early	Tension Breaker. Get a reward and play a face-up card in a single action (one-time).
